Structure of the permanent resident population by canton, on 31.12.2023;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Solothurn;261.437 ;50.993 ;161.991 ;48.453 ;129.750 ;131.687 ;208.257 ;53.180 ;107.676 ;117.278 ;14.447 ;21.718 ;17 ;284 ;17 ;157.750 ;67.642 ;36.045 
Neuchâtel;176.402 ;38.283 ;105.878 ;32.241 ;86.014 ;90.388 ;132.428 ;43.974 ;75.537 ;73.480 ;10.073 ;17.121 ;10 ;173 ;8 ;104.015 ;54.158 ;18.229 
Jura;71.738 ;15.921 ;42.026 ;13.791 ;35.356 ;36.382 ;61.985 ;9.753 ;30.340 ;31.403 ;4.531 ;5.392 ;5 ;61 ;6 ;24.392 ;13.611 ;33.735 
Northwest Switzerland;1.104.353 ;216.199 ;687.237 ;200.917 ;545.842 ;558.511 ;833.402 ;270.951 ;464.642 ;493.279 ;56.435 ;88.212 ;65 ;1.613 ;107 ;726.714 ;275.771 ;101.868 
Basel-Stadt;189.335 ;31.437 ;119.089 ;38.809 ;91.124 ;98.211 ;124.478 ;64.857 ;86.521 ;72.554 ;11.374 ;18.293 ;26 ;518 ;49 ;189.335 ;0 ;0 
Basel-Landschaft;278.656 ;54.044 ;166.891 ;57.721 ;136.280 ;142.376 ;221.006 ;57.650 ;110.415 ;130.095 ;15.488 ;22.177 ;8 ;449 ;24 ;189.594 ;82.024 ;7.038 
Aargau;636.362 ;130.718 ;401.257 ;104.387 ;318.438 ;317.924 ;487.918 ;148.444 ;267.706 ;290.630 ;29.573 ;47.742 ;31 ;646 ;34 ;347.785 ;193.747 ;94.830 
Zurich;1.425.538 ;279.106 ;907.597 ;238.835 ;706.789 ;718.749 ;1.064.112 ;361.426 ;640.145 ;596.614 ;63.246 ;121.378 ;92 ;3.783 ;280 ;1.096.851 ;318.974 ;9.713 
Eastern Switzerland;1.134.781 ;232.213 ;704.052 ;198.516 ;567.320 ;567.461 ;888.862 ;245.919 ;483.752 ;504.564 ;58.320 ;87.063 ;48 ;973 ;61 ;617.960 ;190.930 ;325.891 
Glarus;39.593 ;7.799 ;24.514 ;7.280 ;20.061 ;19.532 ;30.795 ;8.798 ;16.391 ;17.897 ;2.375 ;2.896 ;2 ;30 ;2 ;29.757 ;0 ;9.836 
Schaffhausen;78.783 ;15.014 ;47.968 ;15.801 ;38.849 ;39.934 ;59.350 ;19.433 ;31.847 ;35.611 ;4.672 ;6.533 ;2 ;115 ;3 ;45.975 ;24.769 ;8.039 
Appenzell A. Rh.;53.691 ;11.087 ;32.762 ;9.842 ;27.051 ;26.640 ;45.645 ;8.046 ;22.812 ;23.669 ;2.873 ;4.285 ;1 ;50 ;1 ;15.342 ;25.825 ;12.524 
Appenzell I. Rh.;15.778 ;3.611 ;9.354 ;2.813 ;8.082 ;7.696 ;14.124 ;1.654 ;7.301 ;6.833 ;849 ;790 ;0 ;5 ;0 ;0 ;0 ;15.778 
St. Gallen;491.699 ;103.824 ;304.496 ;83.379 ;245.249 ;246.450 ;379.074 ;112.625 ;212.153 ;217.246 ;24.433 ;37.452 ;17 ;372 ;26 ;342.097 ;63.752 ;85.850 
Graubünden;194.959 ;36.264 ;121.272 ;37.423 ;97.225 ;97.734 ;160.440 ;34.519 ;82.946 ;86.995 ;10.791 ;14.065 ;17 ;136 ;9 ;63.422 ;22.838 ;108.699 
Thurgau;260.278 ;54.614 ;163.686 ;41.978 ;130.803 ;129.475 ;199.434 ;60.844 ;110.302 ;116.313 ;12.327 ;21.042 ;9 ;265 ;20 ;121.367 ;53.746 ;85.165 
Central Switzerland;774.123 ;160.439 ;485.422 ;128.262 ;388.671 ;385.452 ;632.025 ;142.098 ;344.683 ;341.404 ;35.863 ;51.315 ;44 ;777 ;37 ;454.349 ;100.603 ;219.171 
Lucerne;390.349 ;82.017 ;243.575 ;64.757 ;193.382 ;196.967 ;323.029 ;67.320 ;177.622 ;168.749 ;18.645 ;24.898 ;20 ;395 ;20 ;207.016 ;43.066 ;140.267 
Uri;35.865 ;7.465 ;21.624 ;6.776 ;18.325 ;17.540 ;31.887 ;3.978 ;15.352 ;16.788 ;2.049 ;1.649 ;5 ;19 ;3 ;21.536 ;10.070 ;4.259 
Schwyz;151.396 ;31.108 ;95.980 ;24.308 ;77.456 ;73.940 ;121.710 ;29.686 ;65.808 ;67.671 ;6.795 ;10.960 ;6 ;150 ;6 ;91.887 ;31.910 ;27.599 
Obwalden;36.507 ;7.674 ;22.791 ;6.042 ;18.508 ;17.999 ;31.414 ;5.093 ;16.255 ;16.290 ;1.778 ;2.162 ;0 ;21 ;1 ;10.084 ;0 ;26.423 
Nidwalden;41.888 ;7.976 ;26.377 ;7.535 ;21.405 ;20.483 ;36.410 ;5.478 ;18.148 ;18.801 ;1.915 ;3.000 ;4 ;20 ;0 ;15.687 ;5.578 ;20.623 
Zug;118.118 ;24.199 ;75.075 ;18.844 ;59.595 ;58.523 ;87.575 ;30.543 ;51.498 ;53.105 ;4.681 ;8.646 ;9 ;172 ;7 ;108.139 ;9.979 ;0 
Ticino;346.539 ;64.664 ;208.185 ;73.690 ;168.446 ;178.093 ;252.173 ;94.366 ;142.516 ;154.454 ;21.335 ;27.890 ;30 ;280 ;34 ;241.796 ;76.703 ;28.040 
"1 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2013";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2012;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status;;;;;;;Typology: Area with urban character 1;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.039.060 ;1.643.307 ;4.997.135 ;1.398.618 ;3.968.524 ;4.070.536 ;6.169.091 ;1.869.969 ;3.477.652 ;3.507.132 ;407.661 ;634.401 ;502 ;11.057 ;655 ;5.042.728 ;1.742.882 ;1.253.450 
Lake Geneva region;1.519.189 ;329.582 ;938.902 ;250.705 ;741.999 ;777.190 ;1.029.640 ;489.549 ;671.776 ;646.068 ;72.781 ;125.884 ;130 ;2.415 ;135 ;1.046.667 ;316.316 ;156.206 
Vaud;734.356 ;164.537 ;452.075 ;117.744 ;358.983 ;375.373 ;498.089 ;236.267 ;326.830 ;311.274 ;34.752 ;60.211 ;41 ;1.193 ;55 ;459.415 ;199.943 ;74.998 
Valais;321.732 ;66.135 ;198.363 ;57.234 ;159.279 ;162.453 ;252.134 ;69.598 ;134.957 ;145.504 ;17.768 ;23.229 ;31 ;230 ;13 ;165.091 ;75.433 ;81.208 
Geneva;463.101 ;98.910 ;288.464 ;75.727 ;223.737 ;239.364 ;279.417 ;183.684 ;209.989 ;189.290 ;20.261 ;42.444 ;58 ;992 ;67 ;422.161 ;40.940 ;0 
Espace Mittelland;1.788.791 ;366.053 ;1.095.393 ;327.345 ;878.397 ;910.394 ;1.488.524 ;300.267 ;761.169 ;784.059 ;99.799 ;141.629 ;103 ;1.920 ;112 ;894.765 ;475.236 ;418.790 
Bern;992.617 ;192.241 ;607.461 ;192.915 ;484.658 ;507.959 ;853.602 ;139.015 ;420.599 ;435.371 ;57.369 ;78.010 ;51 ;1.146 ;71 ;516.698 ;220.153 ;255.766 
Fribourg;291.395 ;68.379 ;181.009 ;42.007 ;145.326 ;146.069 ;233.105 ;58.290 ;130.145 ;126.821 ;13.272 ;20.834 ;21 ;282 ;20 ;94.830 ;121.083 ;75.482 
Solothurn;259.283 ;51.274 ;160.742 ;47.267 ;128.386 ;130.897 ;207.443 ;51.840 ;106.473 ;116.955 ;14.527 ;21.040 ;15 ;263 ;10 ;156.262 ;67.201 ;35.820 
Neuchâtel;174.554 ;38.264 ;104.534 ;31.756 ;85.050 ;89.504 ;132.652 ;41.902 ;74.078 ;73.594 ;10.112 ;16.579 ;11 ;174 ;6 ;103.058 ;53.363 ;18.133 
Jura;70.942 ;15.895 ;41.647 ;13.400 ;34.977 ;35.965 ;61.722 ;9.220 ;29.874 ;31.318 ;4.519 ;5.166 ;5 ;55 ;5 ;23.917 ;13.436 ;33.589 
Northwest Switzerland;1.091.302 ;214.809 ;680.238 ;196.255 ;538.900 ;552.402 ;829.508 ;261.794 ;457.174 ;490.288 ;56.259 ;86.027 ;61 ;1.410 ;83 ;718.629 ;271.927 ;100.746 
Basel-Stadt;187.425 ;31.024 ;117.752 ;38.649 ;89.948 ;97.477 ;124.497 ;62.928 ;84.839 ;72.495 ;11.542 ;18.044 ;25 ;439 ;41 ;187.425 ;0 ;0 
Basel-Landschaft;276.537 ;53.963 ;166.202 ;56.372 ;135.244 ;141.293 ;220.923 ;55.614 ;109.164 ;129.830 ;15.431 ;21.674 ;8 ;412 ;18 ;188.224 ;81.312 ;7.001 
Aargau;627.340 ;129.822 ;396.284 ;101.234 ;313.708 ;313.632 ;484.088 ;143.252 ;263.171 ;287.963 ;29.286 ;46.309 ;28 ;559 ;24 ;342.980 ;190.615 ;93.745 
Zurich;1.408.575 ;275.787 ;898.516 ;234.272 ;697.854 ;710.721 ;1.057.472 ;351.103 ;628.429 ;593.635 ;63.408 ;119.275 ;81 ;3.538 ;209 ;1.083.494 ;315.507 ;9.574 
Eastern Switzerland;1.123.672 ;232.659 ;697.728 ;193.285 ;561.099 ;562.573 ;885.556 ;238.116 ;478.820 ;500.886 ;58.369 ;84.619 ;51 ;869 ;58 ;611.664 ;188.760 ;323.248 
Glarus;39.369 ;7.827 ;24.427 ;7.115 ;19.904 ;19.465 ;30.795 ;8.574 ;16.275 ;17.879 ;2.400 ;2.785 ;2 ;26 ;2 ;29.510 ;0 ;9.859 
Schaffhausen;77.955 ;14.945 ;47.537 ;15.473 ;38.361 ;39.594 ;59.199 ;18.756 ;31.356 ;35.540 ;4.640 ;6.313 ;2 ;100 ;4 ;45.633 ;24.354 ;7.968 
Appenzell A. Rh.;53.438 ;11.222 ;32.537 ;9.679 ;26.872 ;26.566 ;45.602 ;7.836 ;22.608 ;23.712 ;2.908 ;4.170 ;1 ;36 ;3 ;15.222 ;25.724 ;12.492 
Appenzell I. Rh.;15.717 ;3.654 ;9.316 ;2.747 ;8.053 ;7.664 ;14.137 ;1.580 ;7.279 ;6.828 ;853 ;753 ;0 ;2 ;2 ;0 ;0 ;15.717 
St. Gallen;487.060 ;104.025 ;301.933 ;81.102 ;242.619 ;244.441 ;377.489 ;109.571 ;210.098 ;215.667 ;24.459 ;36.456 ;17 ;344 ;19 ;338.652 ;63.247 ;85.161 
Graubünden;193.920 ;36.464 ;121.040 ;36.416 ;96.578 ;97.342 ;160.390 ;33.530 ;82.519 ;86.683 ;10.819 ;13.748 ;20 ;120 ;11 ;63.043 ;22.593 ;108.284 
Thurgau;256.213 ;54.522 ;160.938 ;40.753 ;128.712 ;127.501 ;197.944 ;58.269 ;108.685 ;114.577 ;12.290 ;20.394 ;9 ;241 ;17 ;119.604 ;52.842 ;83.767 
Central Switzerland;765.879 ;160.449 ;480.563 ;124.867 ;384.402 ;381.477 ;628.071 ;137.808 ;340.505 ;339.115 ;35.729 ;49.793 ;46 ;657 ;34 ;449.456 ;99.585 ;216.838 
Lucerne;386.082 ;82.021 ;240.856 ;63.205 ;191.230 ;194.852 ;320.628 ;65.454 ;175.394 ;167.558 ;18.578 ;24.180 ;20 ;334 ;18 ;205.001 ;42.490 ;138.591 
Uri;35.693 ;7.512 ;21.512 ;6.669 ;18.206 ;17.487 ;31.938 ;3.755 ;15.294 ;16.748 ;2.041 ;1.584 ;6 ;17 ;3 ;21.486 ;9.990 ;4.217 
Schwyz;149.830 ;31.223 ;95.054 ;23.553 ;76.602 ;73.228 ;120.856 ;28.974 ;65.129 ;67.218 ;6.752 ;10.595 ;6 ;123 ;7 ;90.739 ;31.684 ;27.407 
Obwalden;36.115 ;7.722 ;22.542 ;5.851 ;18.301 ;17.814 ;31.131 ;4.984 ;16.090 ;16.143 ;1.763 ;2.097 ;2 ;19 ;1 ;9.959 ;0 ;26.156 
Nidwalden;41.584 ;8.043 ;26.307 ;7.234 ;21.247 ;20.337 ;36.398 ;5.186 ;18.049 ;18.643 ;1.905 ;2.967 ;4 ;16 ;0 ;15.630 ;5.487 ;20.467 
Zug;116.575 ;23.928 ;74.292 ;18.355 ;58.816 ;57.759 ;87.120 ;29.455 ;50.549 ;52.805 ;4.690 ;8.370 ;8 ;148 ;5 ;106.641 ;9.934 ;0 
Ticino;341.652 ;63.968 ;205.795 ;71.889 ;165.873 ;175.779 ;250.320 ;91.332 ;139.779 ;153.081 ;21.316 ;27.174 ;30 ;248 ;24 ;238.053 ;75.551 ;28.048 
"1 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2014";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2011;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status;;;;;;;Typology: Area with urban character 1;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;7.954.662 ;1.642.543 ;4.946.967 ;1.365.152 ;3.922.253 ;4.032.409 ;6.138.668 ;1.815.994 ;3.432.503 ;3.485.079 ;408.797 ;617.370 ;484 ;9.944 ;485 ;4.990.093 ;1.721.840 ;1.242.729 
Lake Geneva region;1.503.500 ;329.867 ;929.345 ;244.288 ;733.280 ;770.220 ;1.025.817 ;477.683 ;662.759 ;642.971 ;72.845 ;122.495 ;128 ;2.214 ;88 ;1.037.473 ;311.820 ;154.207 
Vaud;725.944 ;164.144 ;446.880 ;114.920 ;354.368 ;371.576 ;496.720 ;229.224 ;321.344 ;309.657 ;34.971 ;58.802 ;39 ;1.091 ;40 ;455.576 ;196.757 ;73.611 
Valais;317.022 ;66.149 ;195.608 ;55.265 ;156.733 ;160.289 ;249.788 ;67.234 ;133.155 ;143.792 ;17.662 ;22.173 ;31 ;200 ;9 ;161.958 ;74.468 ;80.596 
Geneva;460.534 ;99.574 ;286.857 ;74.103 ;222.179 ;238.355 ;279.309 ;181.225 ;208.260 ;189.522 ;20.212 ;41.520 ;58 ;923 ;39 ;419.939 ;40.595 ;0 
Espace Mittelland;1.770.429 ;365.815 ;1.085.006 ;319.608 ;868.522 ;901.907 ;1.481.181 ;289.248 ;750.122 ;781.191 ;100.152 ;137.072 ;97 ;1.711 ;84 ;884.888 ;470.277 ;415.264 
Bern;985.046 ;192.630 ;603.836 ;188.580 ;480.824 ;504.222 ;850.232 ;134.814 ;415.930 ;434.707 ;57.640 ;75.622 ;51 ;1.044 ;52 ;511.320 ;218.769 ;254.957 
Fribourg;284.668 ;67.587 ;176.660 ;40.421 ;141.710 ;142.958 ;230.339 ;54.329 ;126.575 ;124.733 ;13.227 ;19.855 ;21 ;245 ;12 ;92.541 ;118.672 ;73.455 
Solothurn;256.990 ;51.247 ;159.460 ;46.283 ;127.111 ;129.879 ;206.325 ;50.665 ;105.158 ;116.472 ;14.600 ;20.522 ;12 ;218 ;8 ;154.985 ;66.672 ;35.333 
Neuchâtel;173.183 ;38.292 ;103.634 ;31.257 ;84.160 ;89.023 ;132.685 ;40.498 ;72.831 ;73.892 ;10.201 ;16.084 ;9 ;158 ;8 ;102.355 ;52.786 ;18.042 
Jura;70.542 ;16.059 ;41.416 ;13.067 ;34.717 ;35.825 ;61.600 ;8.942 ;29.628 ;31.387 ;4.484 ;4.989 ;4 ;46 ;4 ;23.687 ;13.378 ;33.477 
Northwest Switzerland;1.079.913 ;214.404 ;673.785 ;191.724 ;532.811 ;547.102 ;826.427 ;253.486 ;451.381 ;486.941 ;56.372 ;83.851 ;58 ;1.240 ;70 ;711.513 ;268.551 ;99.849 
Basel-Stadt;186.255 ;30.823 ;116.822 ;38.610 ;89.255 ;97.000 ;124.589 ;61.666 ;83.638 ;72.465 ;11.803 ;17.883 ;23 ;413 ;30 ;186.255 ;0 ;0 
Basel-Landschaft;275.360 ;54.064 ;166.320 ;54.976 ;134.661 ;140.699 ;221.306 ;54.054 ;108.602 ;129.811 ;15.409 ;21.165 ;10 ;344 ;19 ;187.300 ;81.111 ;6.949 
Aargau;618.298 ;129.517 ;390.643 ;98.138 ;308.895 ;309.403 ;480.532 ;137.766 ;259.141 ;284.665 ;29.160 ;44.803 ;25 ;483 ;21 ;337.958 ;187.440 ;92.900 
Zurich;1.392.396 ;273.429 ;889.659 ;229.308 ;689.044 ;703.352 ;1.050.188 ;342.208 ;618.188 ;589.863 ;63.675 ;117.216 ;80 ;3.216 ;158 ;1.071.152 ;311.683 ;9.561 
Eastern Switzerland;1.113.929 ;234.649 ;690.724 ;188.556 ;555.345 ;558.584 ;882.555 ;231.374 ;475.505 ;496.656 ;58.589 ;82.307 ;48 ;780 ;44 ;606.113 ;186.740 ;321.076 
Glarus;39.217 ;7.919 ;24.277 ;7.021 ;19.813 ;19.404 ;30.842 ;8.375 ;16.273 ;17.755 ;2.429 ;2.736 ;1 ;21 ;2 ;29.279 ;0 ;9.938 
Schaffhausen;77.139 ;14.919 ;47.077 ;15.143 ;37.885 ;39.254 ;58.950 ;18.189 ;30.912 ;35.289 ;4.672 ;6.175 ;2 ;87 ;2 ;45.404 ;23.921 ;7.814 
Appenzell A. Rh.;53.313 ;11.345 ;32.417 ;9.551 ;26.792 ;26.521 ;45.608 ;7.705 ;22.566 ;23.672 ;2.967 ;4.070 ;1 ;34 ;3 ;15.174 ;25.632 ;12.507 
Appenzell I. Rh.;15.743 ;3.749 ;9.314 ;2.680 ;8.067 ;7.676 ;14.153 ;1.590 ;7.364 ;6.768 ;860 ;745 ;0 ;4 ;2 ;0 ;0 ;15.743 
St. Gallen;483.156 ;104.928 ;299.059 ;79.169 ;240.277 ;242.879 ;376.226 ;106.930 ;208.816 ;214.056 ;24.507 ;35.437 ;15 ;314 ;11 ;336.076 ;62.558 ;84.522 
Graubünden;193.388 ;37.129 ;120.747 ;35.512 ;96.142 ;97.246 ;160.504 ;32.884 ;82.555 ;86.394 ;10.897 ;13.399 ;21 ;112 ;10 ;62.944 ;22.255 ;108.189 
Thurgau;251.973 ;54.660 ;157.833 ;39.480 ;126.369 ;125.604 ;196.272 ;55.701 ;107.019 ;112.722 ;12.257 ;19.745 ;8 ;208 ;14 ;117.236 ;52.374 ;82.363 
Central Switzerland;757.552 ;160.947 ;475.036 ;121.569 ;379.841 ;377.711 ;623.901 ;133.651 ;337.270 ;335.715 ;35.820 ;48.103 ;45 ;577 ;22 ;444.405 ;98.231 ;214.916 
Lucerne;381.966 ;82.223 ;237.874 ;61.869 ;189.074 ;192.892 ;317.823 ;64.143 ;173.540 ;166.035 ;18.699 ;23.356 ;21 ;305 ;10 ;202.631 ;41.910 ;137.425 
Uri;35.382 ;7.579 ;21.266 ;6.537 ;17.966 ;17.416 ;31.907 ;3.475 ;15.151 ;16.643 ;2.048 ;1.517 ;6 ;15 ;2 ;21.365 ;9.905 ;4.112 
Schwyz;147.904 ;31.287 ;93.858 ;22.759 ;75.556 ;72.348 ;120.013 ;27.891 ;64.420 ;66.383 ;6.726 ;10.255 ;7 ;109 ;4 ;89.679 ;31.074 ;27.151 
Obwalden;35.885 ;7.804 ;22.383 ;5.698 ;18.189 ;17.696 ;30.969 ;4.916 ;16.042 ;16.014 ;1.763 ;2.052 ;0 ;13 ;1 ;9.969 ;0 ;25.916 
Nidwalden;41.311 ;8.176 ;26.215 ;6.920 ;21.036 ;20.275 ;36.441 ;4.870 ;18.076 ;18.434 ;1.926 ;2.853 ;4 ;18 ;0 ;15.595 ;5.404 ;20.312 
Zug;115.104 ;23.878 ;73.440 ;17.786 ;58.020 ;57.084 ;86.748 ;28.356 ;50.041 ;52.206 ;4.658 ;8.070 ;7 ;117 ;5 ;105.166 ;9.938 ;0 
Ticino;336.943 ;63.432 ;203.412 ;70.099 ;163.410 ;173.533 ;248.599 ;88.344 ;137.278 ;151.742 ;21.344 ;26.326 ;28 ;206 ;19 ;234.549 ;74.538 ;27.856 
"1 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2014";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2010 1;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;7.870.134 ;1.642.435 ;4.898.005 ;1.329.694 ;3.877.426 ;3.992.708 ;6.103.857 ;1.766.277 ;3.385.597 ;3.466.582 ;408.691 ;599.583 ;482 ;8.887 ;312 ;4.937.104 ;1.699.773 ;1.233.257 
Lake Geneva region;1.483.680 ;328.530 ;917.572 ;237.578 ;723.123 ;760.557 ;1.018.086 ;465.594 ;650.544 ;639.083 ;72.840 ;119.071 ;124 ;1.961 ;57 ;1.025.771 ;305.478 ;152.431 
Vaud;713.281 ;162.732 ;438.711 ;111.838 ;347.880 ;365.401 ;492.352 ;220.929 ;313.265 ;306.944 ;34.936 ;57.105 ;33 ;971 ;27 ;448.776 ;192.059 ;72.446 
Valais;312.684 ;66.028 ;193.310 ;53.346 ;154.458 ;158.226 ;247.010 ;65.674 ;131.427 ;142.394 ;17.566 ;21.098 ;31 ;163 ;5 ;159.549 ;73.150 ;79.985 
Geneva;457.715 ;99.770 ;285.551 ;72.394 ;220.785 ;236.930 ;278.724 ;178.991 ;205.852 ;189.745 ;20.338 ;40.868 ;60 ;827 ;25 ;417.446 ;40.269 ;0 
Espace Mittelland;1.755.696 ;367.089 ;1.077.321 ;311.286 ;860.965 ;894.731 ;1.474.379 ;281.317 ;741.282 ;780.238 ;100.164 ;132.288 ;92 ;1.585 ;47 ;876.431 ;466.271 ;412.994 
Bern;979.802 ;193.918 ;602.006 ;183.878 ;477.906 ;501.896 ;848.100 ;131.702 ;412.573 ;435.295 ;57.680 ;73.298 ;53 ;875 ;28 ;507.530 ;217.538 ;254.734 
Fribourg;278.493 ;66.851 ;172.714 ;38.928 ;138.602 ;139.891 ;227.664 ;50.829 ;123.256 ;122.945 ;13.116 ;18.933 ;18 ;217 ;8 ;90.274 ;116.530 ;71.689 
Solothurn;255.284 ;51.688 ;158.331 ;45.265 ;126.366 ;128.918 ;204.849 ;50.435 ;104.203 ;116.317 ;14.700 ;19.725 ;10 ;325 ;4 ;153.590 ;66.365 ;35.329 
Neuchâtel;172.085 ;38.386 ;103.182 ;30.517 ;83.589 ;88.496 ;132.499 ;39.586 ;71.841 ;74.266 ;10.258 ;15.583 ;8 ;124 ;5 ;101.467 ;52.614 ;18.004 
Jura;70.032 ;16.246 ;41.088 ;12.698 ;34.502 ;35.530 ;61.267 ;8.765 ;29.409 ;31.415 ;4.410 ;4.749 ;3 ;44 ;2 ;23.570 ;13.224 ;33.238 
Northwest Switzerland;1.070.820 ;214.800 ;669.113 ;186.907 ;527.883 ;542.937 ;823.746 ;247.074 ;446.599 ;485.223 ;56.205 ;81.622 ;59 ;1.071 ;41 ;705.663 ;266.141 ;99.016 
Basel-Stadt;184.950 ;30.708 ;115.768 ;38.474 ;88.414 ;96.536 ;124.865 ;60.085 ;82.242 ;72.727 ;11.923 ;17.645 ;21 ;375 ;17 ;184.950 ;0 ;0 
Basel-Landschaft;274.404 ;54.308 ;166.600 ;53.496 ;134.274 ;140.130 ;221.413 ;52.991 ;108.268 ;129.765 ;15.301 ;20.762 ;10 ;288 ;10 ;186.712 ;80.694 ;6.998 
Aargau;611.466 ;129.784 ;386.745 ;94.937 ;305.195 ;306.271 ;477.468 ;133.998 ;256.089 ;282.731 ;28.981 ;43.215 ;28 ;408 ;14 ;334.001 ;185.447 ;92.018 
Zurich;1.373.068 ;270.632 ;878.418 ;224.018 ;678.784 ;694.284 ;1.042.311 ;330.757 ;606.413 ;585.281 ;63.819 ;114.456 ;84 ;2.909 ;106 ;1.057.125 ;306.466 ;9.477 
Eastern Switzerland;1.103.641 ;236.646 ;683.501 ;183.494 ;549.514 ;554.127 ;878.856 ;224.785 ;471.448 ;492.581 ;58.662 ;80.175 ;57 ;687 ;31 ;600.281 ;184.524 ;318.836 
Glarus;38.608 ;7.973 ;23.764 ;6.871 ;19.383 ;19.225 ;30.731 ;7.877 ;16.044 ;17.413 ;2.471 ;2.660 ;2 ;14 ;4 ;28.788 ;0 ;9.820 
Schaffhausen;76.356 ;14.962 ;46.577 ;14.817 ;37.476 ;38.880 ;58.705 ;17.651 ;30.488 ;35.093 ;4.692 ;6.007 ;3 ;72 ;1 ;45.128 ;23.452 ;7.776 
Appenzell A. Rh.;53.017 ;11.509 ;32.164 ;9.344 ;26.653 ;26.364 ;45.504 ;7.513 ;22.423 ;23.597 ;2.986 ;3.973 ;1 ;35 ;2 ;15.236 ;25.285 ;12.496 
Appenzell I. Rh.;15.688 ;3.779 ;9.252 ;2.657 ;8.047 ;7.641 ;14.120 ;1.568 ;7.364 ;6.743 ;855 ;723 ;0 ;2 ;1 ;0 ;0 ;15.688 
St. Gallen;478.907 ;105.830 ;296.023 ;77.054 ;237.858 ;241.049 ;374.368 ;104.539 ;207.230 ;212.223 ;24.531 ;34.616 ;20 ;282 ;5 ;333.304 ;61.912 ;83.691 
Graubünden;192.621 ;37.591 ;120.497 ;34.533 ;95.748 ;96.873 ;160.517 ;32.104 ;82.453 ;85.959 ;10.928 ;13.151 ;24 ;98 ;8 ;62.603 ;22.030 ;107.988 
Thurgau;248.444 ;55.002 ;155.224 ;38.218 ;124.349 ;124.095 ;194.911 ;53.533 ;105.446 ;111.553 ;12.199 ;19.045 ;7 ;184 ;10 ;115.222 ;51.845 ;81.377 
Central Switzerland;749.476 ;161.685 ;469.604 ;118.187 ;375.266 ;374.210 ;619.581 ;129.895 ;333.981 ;332.829 ;35.698 ;46.428 ;39 ;486 ;15 ;439.424 ;97.560 ;212.492 
Lucerne;377.610 ;82.589 ;234.624 ;60.397 ;186.664 ;190.946 ;314.720 ;62.890 ;171.607 ;164.540 ;18.654 ;22.523 ;18 ;260 ;8 ;200.434 ;41.401 ;135.775 
