code;de;fr;it;en
I.1.9.M;Hüft­Endoprothesen­Erstimplantation bei HD Schenkelhals­ oder pertrochantärer Fraktur, Mortalität;Première implantation d'endoprothèse de hanche en cas de DP fracture du col du fémur ou du trochanter, mortalité;Primo impianto dell'endoprotesi dell'anca con DP frattura del collo del femore o pertrocanterica, mortalità;First hip endoprosthesis implantation in cases with PD femoral neck or pertrochanteric fracture, mortality
I.2.10.M;Versteifung der Wirbelsäule oder Wirbelkörperersatz, ab 3 Wirbelkörpern (ohne Tumor, Trauma, komplexe Rekonstitutionen), Mortalität - SE;Raidissement de la colonne vertébrale ou remplacement de corps vertébral, 3 corps vértebraux et plus (sans tumeur, traumatisme, réparations complexes), mortalité - SE;Fusione spinale o sostituzione di vertebre, 3 e più vertebre (senza tumore, trauma o ricostruzioni complesse), mortalità - SE;Spinal fusion or vertebral body replacement, 3 or more vertebral bodies (without tumor, trauma or complex reconstructions), mortality - SE
I.2.13.M;Vertebroplastik/Kyphoplastik (ohne Tumor, komplexe Rekonstitutionen, Versteifung, Wirbelkörperersatz, Eingriffe an Bandscheiben), Mortalität - SE;Vertébroplastie/kyphoplastie (sans tumeur, réparations complexes, fusion vertébrale, remplacement de corps vertébral, interventions aux disques intervertébraux), mortalité - SE;Vertebroplastica/cifoplastica (senza tumore, ricostruzioni complesse, fusione spinale, sostituzione di vertebre o interventi ai dischi intervertebrali), mortalità - SE;Vertebroplasty/kyphoplasty (without tumor, complex reconstructions, spinal fusion, vertebral body replacement or intervertebral disc procedures), mortality - SE
I.2.14.M;Andere OP an der Wirbelsäule oder am Rückenmark (nicht in I.2.5.F, I.2.7.F, I.2.8.F, I.2.9.F, I.2.10.F, I.2.13.F, I.2.18.F, I.2.19.F, I.2.20.F, I.2.21.F ), Mortalität;Autres OP de la colonne vertébrale ou de la moelle épinière (non spécifiée dans I.2.5.F, I.2.7.F, I.2.8.F, I.2.9.F, I.2.10.F, I.2.13.F, I.2.18.F, I.2.19.F, I.2.20.F, I.2.21.F ), mortalité;Altre OP alla colonna vertebrale o al midollo spinale (non in I.2.5.F, I.2.7.F, I.2.8.F, I.2.9.F, I.2.10.F, I.2.13.F, I.2.18.F, I.2.19.F, I.2.20.F, I.2.21.F ), mortalità;Other surgery on the spine or spinal cord (not specified in I.2.5.F, I.2.7.F, I.2.8.F, I.2.9.F, I.2.10.F, I.2.13.F, I.2.18.F, I.2.19.F, I.2.20.F, I.2.21.F), mortality
I.2.18.M;OP an der Wirbelsäule bei Diszitis oder Osteomyelitis der Wirbelsäule, Mortalität;OP de la colonne vertébrale en cas de discite ou d'ostéomyélite, mortalité;OP alla colonna vertebrale per discite od osteomielite, mortalità;Spinal surgery in cases with discitis or osteomyelitis of the spine, mortality
I.2.19.M;Versteifung der Wirbelsäule oder Wirbelkörperersatz bei Trauma (inkl. komplexe Rekonstitutionen), Mortalität;Raidissement de la colonne vertébrale ou remplacement de corps vertébral en cas de traumatisme (réparations complexes incluses), mortalité;Fusione spinale o sostituzione di vertebre in caso di trauma (ricostruzioni complesse incluse), mortalità;Spinal fusion or vertebral body replacement in cases with trauma (including complex reconstructions), mortality
I.2.20.M;Dekompression der Wirbelsäule, Mortalität - SE;Décompression de la colonne vertébrale, mortalité - SE;Decompressione della colonna vertebrale, mortalità - SE;Spinal decompression, mortality - SE
I.2.21.M;Exzision von Bandscheibengewebe (ohne Tumor, Trauma, Dekompression, komplexe OP an Wirbelsäule), Mortalität - SE;Discectomie (sans tumeur, traumatisme, décompression, OP complexe de la colonne vertébrale), mortalité - SE;Escissione dei tessuti intervertebrali (senza tumore, trauma, decompressione o OP complessa alla colonna vertrebrale), mortalità - SE;Discectomy (without tumor, trauma, decompression or complex spinal surgery), mortality - SE
I.2.5.M;Versteifung der Wirbelsäule oder Wirbelkörperersatz bei Tumor (inkl. komplexe Rekonstitutionen), Mortalität;Raidissement de la colonne vertébrale ou remplacement de corps vertébral en cas de tumeur (réparations complexes incluses), mortalité;Fusione spinale o sostituzione di vertebre in caso di tumore (ricostruzioni complesse incluse), mortalità;Spinal fusion or vertebral body replacement in cases with tumor (including complex reconstructions), mortality
I.2.7.M;Komplexe Rekonstruktionen der Wirbelsäule (ohne Tumor, Trauma), Mortalität - SE;Réparations complexes de la colonne vertébrale (sans tumeur, traumatisme), mortalité - SE;Ricostruzioni complesse della colonna vertebrale (senza tumore o trauma), mortalità - SE;Complex spinal reconstructions (without tumor or trauma), mortality - SE
I.2.8.M;Versteifung der Wirbelsäule oder Wirbelkörperersatz, 1 Wirbelkörper (ohne Tumor, Trauma, komplexe Rekonstitutionen), Mortalität - SE;Raidissement de la colonne vertébrale ou remplacement de corps vertébral, 1 corps vértebral (sans tumeur, traumatisme, réparations complexes), mortalité - SE;Fusione spinale o sostituzione di vertebre, 1 vertebra (senza tumore, trauma o ricostruzioni complesse), mortalità - SE;Spinal fusion or vertebral body replacement, 1 vertebral body (without tumor, trauma or complex reconstructions), mortality - SE
I.2.9.M;Versteifung der Wirbelsäule oder Wirbelkörperersatz, 2 Wirbelkörper (ohne Tumor, Trauma, komplexe Rekonstitutionen), Mortalität - SE;Raidissement de la colonne vertébrale ou remplacement de corps vertébral, 2 corps vértebraux (sans tumeur, traumatisme, réparations complexes), mortalité - SE;Fusione spinale o sostituzione di vertebre, 2 vertebre (senza tumore, trauma o ricostruzioni complesse), mortalità - SE;Spinal fusion or vertebral body replacement, 2 vertebral bodies (without tumor, trauma or complex reconstructions), mortality - SE
I.3.10.M;HD Schenkelhalsfraktur mit endoprothetischer Versorgung (Alter >19), Mortalität;DP fracture du col du fémur avec traitement par endoprothèse (âge >19), mortalité;DP frattura del collo del femore con trattamento endoprotesico (età >19), mortalità;PD femoral neck fracture treated with endoprosthesis (age >19), mortality
I.3.11.M;HD Schenkelhalsfraktur mit osteosynthetischer Versorgung (Alter >19), Mortalität;DP fracture du col du fémur avec traitement par ostéosynthèse (âge >19), mortalité;DP frattura del collo del femore con trattamento osteosintetico (età >19), mortalità;PD femoral neck fracture treated with osteosynthesis (age >19), mortality
I.3.14.M;HD pertrochantäre Fraktur mit operativer Versorgung (Alter >19), Mortalität;DP fracture du trochanter avec traitement opératoire (âge >19), mortalité;DP frattura pertrocanterica con trattamento chirurgico (età >19), mortalità;PD trochanteric fracture treated surgically (age >19), mortality
I.3.15.M;HD pertrochantäre Fraktur mit endoprothetischer Versorgung (Alter >19), Mortalität;DP fracture du trochanter avec traitement par endoprothèse (âge >19), mortalité;DP frattura pertrocanterica con trattamento endoprotesico (età >19), mortalità;PD trochanteric fracture treated with endoprosthesis (age >19), mortality
I.3.16.M;HD pertrochantäre Frakturmit osteosynthetischer Versorgung (Alter >19), Mortalität;DP fracture du trochanter avec traitement par ostéosynthèse (âge >19), mortalité;DP frattura pertrocanterica con trattamento osteosintetico (età >19), mortalità;PD trochanteric fracture treated with osteosynthesis (age >19), mortality
I.3.19.M;HD hüftgelenknahe Fraktur mit konservativer Versorgung (Alter >19), Direktaufnahmen, Mortalität;DP fracture métaphysaire de la hanche avec traitement conservateur (âge >19), admissions directes, mortalité;DP frattura periarticolare dell'anca con trattamento conservativo (età >19), ammissioni dirette, mortalità;PD metaphyseal fracture near the hip treated conservatively (age >19), direct admissions, mortality
I.3.20.M;HD hüftgelenknahe Fraktur mit konservativer Versorgung (Alter >19), Zuverlegungen, Mortalität;DP fracture métaphysaire de la hanche avec traitement conservateur (âge >19), transféré d'un autre hôpital, mortalité;DP frattura periarticolare dell'anca con trattamento conservativo (età >19), trasferito da un altro ospedale, mortalità;PD metaphyseal fracture near the hip treated conservatively (age >19), transferred from another hospital, mortality
I.3.21.M;HD hüftgelenknahe Fraktur bei Tumor, Hüftfraktur oder Sonderprothese (Alter >19), Mortalität;DP fracture métaphysaire de la hanche en présence d’une tumeur, d’une fracture de la hanche ou d’une prothèse spéciale (âge >19), mortalité;DP frattura periarticolare dell'anca con tumore, frattura dell'anca o protesi speciale (età >19), mortalità;PD metaphyseal fracture near the hip in the presence of a tumor, hip fracture or special prosthesis (age >19), mortality
I.3.9.M;HD Schenkelhalsfraktur mit operativer Versorgung (Alter >19), Mortalität;DP fracture du col du fémur avec traitement opératoire (âge >19), mortalité;DP frattura del collo del femore con trattamento chirurgico (età >19), mortalità;PD femoral neck fracture treated surgically (age >19), mortality
J.1.1.M;Beatmungsfälle >24 h (ohne Neugeborene), Mortalität;Cas de respiration artificielle >24 h (à l'exclusion des nouveau­nés), mortalité;Casi di ventilazione meccanica >24 h (neonati esclusi), mortalità;Cases with mechanical ventilation >24 h (excluding newborns), mortality
J.1.10.M;Beatmungsfälle >24 h mit COVID-19 (ohne Neugeborene), Mortalität;Cas de respiration artificielle >24 h avec COVID-19 (à l'exclusion des nouveau­nés), mortalité;Casi di ventilazione meccanica >24 h con COVID-19 (neonati esclusi), mortalità;Cases with mechanical ventilation >24 h with COVID-19 (excluding newborns), mortality
J.1.4.M;Beatmungsfälle >24 h (ohne Neugeborene), Direktaufnahmen, Mortalität;Cas de respiration artificielle >24 h (à l'exclusion des nouveau­nés), admissions directes, mortalité;Casi di ventilazione meccanica >24 h (neonati esclusi), ammissioni dirette, mortalità;Cases with mechanical ventilation >24 h (excluding newborns), direct admissions, mortality
J.1.5.M;Beatmungsfälle >24 h mit OP (ohne Neugeborene), Mortalität;Cas de respiration artificielle >24 h avec OP (à l'exclusion des nouveau­nés), mortalité;Casi di ventilazione meccanica >24 h con OP (neonati esclusi), mortalità;Cases with mechanical ventilation >24 h with surgery (excluding newborns), mortality
J.1.6.M;Beatmungsfälle >24 h ohne OP (ohne Neugeborene), Mortalität;Cas de respiration artificielle >24 h sans OP (à l'exclusion des nouveau­nés), mortalité;Casi di ventilazione meccanica >24 h senza OP (neonati esclusi), mortalità;Cases with mechanical ventilation >24 h without surgery (excluding newborns), mortality
J.1.9.M;Beatmungsfälle >24 h ohne COVID-19 (ohne Neugeborene), Mortalität;Cas de respiration artificielle >24 h sans COVID-19 (à l'exclusion des nouveau­nés), mortalité;Casi di ventilazione meccanica >24 h senza COVID-19 (neonati esclusi), mortalità;Cases with mechanical ventilation >24 h without COVID-19 (excluding newborns), mortality
J.2.1.M;HD Sepsis durch bakterielle Erreger, Mortalität;DP septicémie due à des agents bactériens, mortalité;DP sepsi batterica, mortalità;PD sepsis due to bacterial agents, mortality
J.2.2.M;HD Sepsis durch bakterielle Erreger mit Organkomplikation/Schock, Mortalität;DP septicémie due à des agents bactériens avec complications d'organe/choc, mortalité;DP sepsi batterica con complicazione d'organo/shock, mortalità;PD sepsis due to bacterial agents with organ complications/shock, mortality
J.2.3.M;HD Sepsis durch bakterielle Erreger ohne Organkomplikation/Schock, Mortalität;DP septicémie due à des agents bactériens sans complications d'organe/choc, mortalité;DP sepsi batterica senza complicazione d'organo/shock, mortalità;PD sepsis due to bacterial agents without organ complications/shock, mortality
J.2.4.M;ND Sepsis durch bakterielle Erreger oder SIRS, Mortalität;DS septicémie due à des agents bactériens ou SIRS, mortalité;DS sepsi batterica o SIRS, mortalità;SD sepsis due to bacterial agents or SIRS, mortality
J.2.5.M;ND Sepsis durch bakterielle Erreger oder SIRS mit Organkomplikation/Schock, Mortalität;DS septicémie due à des agents bactériens ou SIRS avec complications d'organe/choc, mortalité;DS sepsi batterica o SIRS con complicazione d'organo/shock, mortalità;SD sepsis due to bacterial agents or SIRS with organ complications/shock, mortality
J.2.6.M;SIRS ohne Organkomplikationen, Mortalität;SIRS sans complications d'organe, mortalité;SIRS senza complicazioni d'organo, mortalità;SIRS without organ complications, mortality
J.2.7.M;Sepsis durch nicht-bakterielle Erreger, Mortalität;Septicémie due à des agents non bactériens, mortalité;Sepsi da agenti non batterici, mortalità;Sepsis due to non-bacterial agents, mortality
J.3.10.M;OP am Herzen offen chirurgisch mit Transfusion von >4 EK oder TK und IPS, Mortalität;OP à cœur ouvert avec transfusion de CE ou CP >4 et USI, mortalité;OP chirurgica a cuore aperto con trasfusione di CE o CT > 4 e UCI, mortalità;Open-heart surgery with transfusion of >4 RBC or platelet concentrates and ICU, mortality
J.3.6.M;Konservative Versorgung mit Transfusion von >4 EK oder TK und IPS (ohne Polytrauma, oder Hämato-Onkologische Diagnose), Mortalität;Transfusion avec CE ou CP >4 et USI (sans traumatisme multiple ou diagnostic hémato-oncologique), traitement conservateur, mortalité;Trattamento conservativo con trasfusione di CE o CP > 4 e UCI (senza politrauma o diagnosi emato-oncologica), mortalità;Conservative treatment with transfusion of >4 RBC or platelet concentrates and ICU (without multiple trauma or hemato-oncological diagnosis), mortality
J.3.7.M;OP mit Transfusion von >4 EK oder TK und IPS (ohne Organtransplantation, Polytrauma, OP am Herzen offen oder Hämato-Onkologische Diagnose), Mortalität;Transfusion avec CE ou CP >4 et USI (sans transplantation d’organe, traumatisme multiple, OP à cœur ouvert ou diagnostic hémato-oncologique), traitement opératoire, mortalité;OP con trasfusione di CE o CP > 4 e UCI (senza trapianto d’organi, politrauma, OP chirurgica a cuore aperto o diagnosi emato-oncologica), mortalità;Surgical treatment with transfusion of >4 RBC or platelet concentrates and ICU (without organ transplantation, multiple trauma, open-heart surgery or hemato-oncological diagnosis), mortality
J.3.8.M;ND Lungenembolie bei Fällen mit therapeutischen Massnahmen, Mortalität;DS embolie pulmonaire pour les cas avec mesures thérapeutiques, mortalité;DS embolia polmonare in casi con misure terapeutiche, mortalità;SD pulmonary embolism in cases with therapeutic measures, mortality
